name,category,address,city,state,postal_code,phone,website_url,source_url,source_type,observed_at,rating,amenities,pet_policy,canonical,market_id
Comfort Suites Port Wentworth - Savannah North,pet-friendly-hotels,115 Traveler's Way,Port Wentworth,GA,31407,+1 912-330-4204,https://www.choicehotels.com/georgia/port-wentworth/comfort-suites-hotels/ga466,https://www.choicehotels.com/georgia/port-wentworth/comfort-suites-hotels/ga466,OFFICIAL_PROPERTY,2026-09-14,,,"Pets Allowed: Yes / General: Pets allowed. 35.00USD per Pet per night. A maximum of 50 lbs and 2 pets per room.. Service animals are permitted, without charge.",,savannah-ga
"Country Inn & Suites By Radisson, Savannah Gateway, GA",pet-friendly-hotels,16 Gateway Boulevard East,Savannah,GA,31419,+1 912-920-3200,https://www.choicehotels.com/georgia/savannah/country-inn-suites-hotels/ga298,https://www.choicehotels.com/georgia/savannah/country-inn-suites-hotels/ga298,OFFICIAL_PROPERTY,2026-09-14,,,"Pets Allowed: Yes / General: Pets Allowed. Pet Charge 25.00 USD Per Pet, Per Night. Pet limit 2 Pet Per Room. Max 30 Pounds.. Service animals are permitted, without charge.",,savannah-ga
"Country Inn & Suites by Radisson, Savannah I-95 North, GA",pet-friendly-hotels,200 Raley Road,Port Wentworth,GA,31407,+1 912-964-2300,https://www.choicehotels.com/georgia/port-wentworth/country-inn-suites-hotels/gad33,https://www.choicehotels.com/georgia/port-wentworth/country-inn-suites-hotels/gad33,OFFICIAL_PROPERTY,2026-09-14,,,"Pets Allowed: Yes / General: Pets allowed for an extra charge of USD 50 per pet, per room, per night.. Service animals are permitted, without charge.",,savannah-ga
"Country Inn & Suites by Radisson, Savannah Southside",pet-friendly-hotels,11317 Abercorn Street,Savannah,GA,31419,(912) 920-3787,https://www.choicehotels.com/georgia/savannah/country-inn-suites-hotels/gac21,https://www.choicehotels.com/georgia/savannah/country-inn-suites-hotels/gac21,OFFICIAL_PROPERTY,2026-09-14,,,"Pets Allowed: Yes / General: All Pets Allowed. Pet Charge 30 USD Per Pet, Per Night. Pet limit 50lbs. Maximum of 2 Pets Per Room.. Service animals are permitted, without charge.",,savannah-ga
Courtyard by Marriott Savannah Midtown,pet-friendly-hotels,6703 Abercorn Street,Savannah,GA,31405,+1 912-354-7878,https://www.marriott.com/en-us/hotels/savch-courtyard-savannah-midtown/overview/,https://www.marriott.com/en-us/hotels/savch-courtyard-savannah-midtown/overview/,OFFICIAL_PROPERTY,2026-09-14,,,Pets Welcome $150/stay nonrefundable clean fee excludes Service Animals Non-Refundable Pet Fee Per Stay: $150.00 Maximum Pet Weight: 40.0lbs Maximum Number of Pets in Room: 2,,savannah-ga
Days Inn & Suites by Wyndham Savannah Midtown,pet-friendly-hotels,211 Stephenson Avenue,Savannah,GA,31405,1-912-3529884,https://www.wyndhamhotels.com/days-inn/savannah-georgia/days-inn-savannah-midtown/overview,https://www.wyndhamhotels.com/BWSServices/services/search/property/search?isOverviewNeeded=true&propertyId=46875&isAmenitiesNeeded=false&channelId=tab&language=en-us&isRoomAmenitiesNeeded=false,OFFICIAL_PROPERTY,2026-09-14,,,Pets allowed for non-refundable fee of 35.00 USD per pet per night with a max charge of 50.00 USD per pet per reservation. A Pet sanitation fee of 50.00 USD will be charged if applicable. ADA defined service animals are welcome at this hotel.,,savannah-ga
Days Inn by Wyndham Richmond Hill/Savannah,pet-friendly-hotels,3926 Highway 17,Richmond Hill,GA,31324,(912) 756-3371,https://www.wyndhamhotels.com/days-inn/richmond-hill-georgia/days-inn-richmond-hill-savannah/overview,https://www.wyndhamhotels.com/BWSServices/services/search/property/search?isOverviewNeeded=true&propertyId=05194&isAmenitiesNeeded=false&channelId=tab&language=en-us&isRoomAmenitiesNeeded=false,OFFICIAL_PROPERTY,2026-09-14,,,Pets are allowed for a non-refundable charge of Dollar 10 per pet per night. ADA defined service animals are also welcome at this hotel.,,savannah-ga
Days Inn by Wyndham Savannah Airport,pet-friendly-hotels,2500 Dean Forest Road,Savannah,GA,31408,(912) 966-5000,https://www.wyndhamhotels.com/days-inn/savannah-georgia/days-inn-savannah-airport/overview,https://www.wyndhamhotels.com/BWSServices/services/search/property/search?isOverviewNeeded=true&propertyId=06946&isAmenitiesNeeded=false&channelId=tab&language=en-us&isRoomAmenitiesNeeded=false,OFFICIAL_PROPERTY,2026-09-14,,,Up to 2 pets allowed for a non-refundable charge of 20.00 USD per pet per night plus tax . ADA defined service animals are welcome at this hotel.,,savannah-ga
Days Inn by Wyndham Savannah Gateway I-95,pet-friendly-hotels,15 Fort Argyle Road,Savannah,GA,31419,(912) 927-8550,https://www.wyndhamhotels.com/days-inn/savannah-georgia/days-inn-savannah-gateway-i-95/overview,https://www.wyndhamhotels.com/BWSServices/services/search/property/search?isOverviewNeeded=true&propertyId=03942&isAmenitiesNeeded=false&channelId=tab&language=en-us&isRoomAmenitiesNeeded=false,OFFICIAL_PROPERTY,2026-09-14,,,Service Animals - ADA-defined service animals welcome. / Pets Allowed. 2 pets max. 80lbs or less per pet. / Fees - 20USD per night. Pet Sanitation Fee 250USD if required. / Other Information - Contact hotel for additional details and availability.,,savannah-ga
DoubleTree by Hilton Hotel Savannah Historic District,pet-friendly-hotels,411 West Bay Street,Savannah,GA,31401,+1 912-790-7000,https://www.hilton.com/en/hotels/savhtdt-doubletree-savannah-historic-district/,https://www.hilton.com/en/hotels/savhtdt-doubletree-savannah-historic-district/,OFFICIAL_PROPERTY,2026-09-14,,,"Pets allowed, $50.00 non-refundable fee",,savannah-ga
Drury Plaza Hotel Savannah Pooler,pet-friendly-hotels,500 East US-80,Pooler,GA,31322,(912) 330-0400,https://www.druryhotels.com/locations/savannah-ga/drury-plaza-hotel-savannah-pooler,https://www.druryhotels.com/locations/savannah-ga/drury-plaza-hotel-savannah-pooler,OFFICIAL_PROPERTY,2026-09-14,,,Dogs and cats accepted. Rooms with pets will be charged a daily fee of $50 per room plus tax. Service animals are free of charge. Limit of two pets per room with a combined weight of 80 pounds.,,savannah-ga
East Bay Inn,pet-friendly-hotels,225 East Bay Street,Savannah,GA,31401,(912) 238-1225,https://www.eastbayinn.com/amenities,https://www.eastbayinn.com/amenities,OFFICIAL_PROPERTY,2026-09-14,,,We are a pet-friendly property!,,savannah-ga
ECHO Suites Extended Stay by Wyndham Savannah Pooler,pet-friendly-hotels,185 West Mulberry Boulevard,Savannah,GA,31407,(912) 736-5470,https://www.wyndhamhotels.com/echo-suites/savannah-georgia/echo-suites-extended-stay-savannah-pooler/overview,https://www.wyndhamhotels.com/BWSServices/services/search/property/search?isOverviewNeeded=true&propertyId=59968&isAmenitiesNeeded=false&channelId=tab&language=en-us&isRoomAmenitiesNeeded=false,OFFICIAL_PROPERTY,2026-09-14,,,Service Animals - ADA-defined service animals welcome. / Dogs Allowed. 2 pets max. 75lbs or less per pet. / Fees - 50USD per night. Plus 10USD for each additional night per. / Other Information - Contact hotel for additional details and availability,,savannah-ga
Econo Lodge Garden City - Savannah,pet-friendly-hotels,4200 Augusta Road,Garden City,GA,31408,+1 912-964-4344,https://www.choicehotels.com/georgia/garden-city/econo-lodge-hotels/ga915,https://www.choicehotels.com/georgia/garden-city/econo-lodge-hotels/ga915,OFFICIAL_PROPERTY,2026-09-14,,,"Pets Allowed: Yes / General: Pets Allowed 20.00 USD per pet, per night. Max 2 pets per room.. Service animals are permitted, without charge.",,savannah-ga
Econo Lodge Richmond Hill,pet-friendly-hotels,4701 US Highway 17 S,Richmond Hill,GA,31324,+1 912-756-3312,https://www.choicehotels.com/georgia/richmond-hill/econo-lodge-hotels/ga192,https://www.choicehotels.com/georgia/richmond-hill/econo-lodge-hotels/ga192,OFFICIAL_PROPERTY,2026-09-14,,,"Pets Allowed: Yes / General: Pets are allowed. 15.00 USD per night and per pet. A refundable deposit of 50.00 USD is required. A maximum of 2 pets per room.. Service animals are permitted, without charge.",,savannah-ga
Econo Lodge Savannah Midtown,pet-friendly-hotels,7500 Abercorn Street,Savannah,GA,31406,+1 912-352-1657,https://www.choicehotels.com/georgia/savannah/econo-lodge-hotels/ga194,https://www.choicehotels.com/georgia/savannah/econo-lodge-hotels/ga194,OFFICIAL_PROPERTY,2026-09-14,,,"Pets Allowed: Yes / General: Pets Allowed. Max 2 pets per room, $20 fee per day and designated pet room. Service animals are permitted, without charge.",,savannah-ga
Element by Marriott Pooler Savannah Airport,pet-friendly-hotels,100 Davol St,Pooler,GA,31322,+19127374090,https://www.marriott.com/en-us/hotels/savpe-element-pooler-savannah-airport/overview/,https://www.marriott.com/en-us/hotels/savpe-element-pooler-savannah-airport/overview/,OFFICIAL_PROPERTY,2026-09-14,,,Pets Welcome 2 dogs 75 lbs. max per pet per room with non-refundable fee. Non-Refundable Pet Fee Per Night: $50.00 Maximum Pet Weight: 75.0lbs Maximum Number of Pets in Room: 2,,savannah-ga
Element by Marriott Savannah Midtown,pet-friendly-hotels,26 W. Fairmont Avenue,Savannah,GA,31406,+19129121150,https://www.marriott.com/en-us/hotels/savem-element-savannah-midtown/overview/,https://www.marriott.com/en-us/hotels/savem-element-savannah-midtown/overview/,OFFICIAL_PROPERTY,2026-09-14,,,Pets Welcome Non-Refundable Pet Fee Per Night: $50.00 Non-Refundable Pet Fee Per Night: $50.00 Maximum Pet Weight: 40.0lbs Maximum Number of Pets in Room: 2,,savannah-ga
Embassy Suites by Hilton Savannah Airport,pet-friendly-hotels,145 W. Mulberry Blvd,Savannah,GA,31407,+1 912-330-8222,https://www.hilton.com/en/hotels/savapes-embassy-suites-savannah-airport/,https://www.hilton.com/en/hotels/savapes-embassy-suites-savannah-airport/,OFFICIAL_PROPERTY,2026-09-14,,,"Pets allowed, $75.00 non-refundable fee, $75(1-4n),$125(5+n)2petsMax,dog/cat only",,savannah-ga
Embassy Suites by Hilton Savannah Historic District,pet-friendly-hotels,605 West Oglethorpe Avenue,Savannah,GA,31401,+1 912-721-6900,https://www.hilton.com/en/hotels/saveses-embassy-suites-savannah-historic-district/,https://www.hilton.com/en/hotels/saveses-embassy-suites-savannah-historic-district/,OFFICIAL_PROPERTY,2026-09-14,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $75",,savannah-ga
Fairfield by Marriott Inn & Suites Savannah Downtown/Historic District,pet-friendly-hotels,135 Martin Luther King Jr Boulevard,Savannah,GA,31401,+19122361777,https://www.marriott.com/en-us/hotels/savfd-fairfield-inn-and-suites-savannah-downtown-historic-district/overview/,https://www.marriott.com/en-us/hotels/savfd-fairfield-inn-and-suites-savannah-downtown-historic-district/overview/,OFFICIAL_PROPERTY,2026-09-14,,,Pets Welcome Per room/1 dog 40 lbs max with one-time nonrefundable fee of $125. Maximum Pet Weight: 40.0lbs Maximum Number of Pets in Room: 1,,savannah-ga
Fairfield by Marriott Inn & Suites Savannah I-95 North,pet-friendly-hotels,305 Raley Road,Port Wentworth,GA,31407,+1 912-430-6700,https://www.marriott.com/en-us/hotels/savfn-fairfield-inn-and-suites-savannah-i-95-north/overview/,https://www.marriott.com/en-us/hotels/savfn-fairfield-inn-and-suites-savannah-i-95-north/overview/,OFFICIAL_PROPERTY,2026-09-14,,,Pets Welcome Two pets per room with 75USD Non Refundable fee per room per stay Non-Refundable Pet Fee Per Stay: $75.00 Maximum Pet Weight: 50.0lbs Maximum Number of Pets in Room: 2,,savannah-ga
Fairfield by Marriott Inn & Suites Savannah SW/Richmond Hill,pet-friendly-hotels,4620 US Highway 17,Richmond Hill,GA,31324,+19124595500,https://www.marriott.com/en-us/hotels/savrh-fairfield-inn-and-suites-savannah-sw-richmond-hill/overview/,https://www.marriott.com/en-us/hotels/savrh-fairfield-inn-and-suites-savannah-sw-richmond-hill/overview/,OFFICIAL_PROPERTY,2026-09-14,,,Pets Welcome Pet policy & fees of $50.00 per/pet. due at check-in. Max 2 pets/room. Maximum Pet Weight: 100.0lbs Maximum Number of Pets in Room: 2,,savannah-ga
Foley House Inn,pet-friendly-hotels,14 West Hull Street,Savannah,GA,31401,(800) 647-3708,https://foleyinn.com/pet-friendly-savannah-bed-and-breakfast/,https://foleyinn.com/pet-friendly-savannah-bed-and-breakfast/,OFFICIAL_PROPERTY,2026-09-14,,,"A pet friendly Savannah bed and breakfast? Yes! Just because you’re traveling doesn’t mean you have to leave your pets behind. Four-legged guests are always welcome at the Foley House Inn in the heart of the Savannah, Georgia Historic District.",,savannah-ga
Hampton Inn and Suites Savannah-Airport,pet-friendly-hotels,70 Stephen S. Green Drive,Savannah,GA,31408,+1 912-966-1240,https://www.hilton.com/en/hotels/savathx-hampton-suites-savannah-airport/,https://www.hilton.com/en/hotels/savathx-hampton-suites-savannah-airport/,OFFICIAL_PROPERTY,2026-09-14,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $75(1-4n),$125(5+n) 2petsMaxDog/cat onl",,savannah-ga
Hampton Inn & Suites Savannah Historic District,pet-friendly-hotels,603 West Oglethorpe Avenue,Savannah,GA,31401,+1 912-721-1600,https://www.hilton.com/en/hotels/savhshx-hampton-suites-savannah-historic-district/,https://www.hilton.com/en/hotels/savhshx-hampton-suites-savannah-historic-district/,OFFICIAL_PROPERTY,2026-09-14,,,"Pets allowed, $75.00 non-refundable fee, 80 lbs maximum, $75(1-4n),$125(5+n) 2petsMax,dog/catonly",,savannah-ga
Hampton Inn & Suites Savannah - I-95 South - Gateway,pet-friendly-hotels,591 Al Henderson Blvd.,Savannah,GA,31419,+1 912-921-1515,https://www.hilton.com/en/hotels/savgwhx-hampton-suites-savannah-i-95-south-gateway/,https://www.hilton.com/en/hotels/savgwhx-hampton-suites-savannah-i-95-south-gateway/,OFFICIAL_PROPERTY,2026-09-14,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $75(1-4n),$125(5+n)2petsMax,comb weight 75lbs,dog/cat only",,savannah-ga
Hampton Inn & Suites Savannah/Midtown,pet-friendly-hotels,20 Johnston Street,Savannah,GA,31405,+1 912-721-3700,https://www.hilton.com/en/hotels/savmdhx-hampton-suites-savannah-midtown/,https://www.hilton.com/en/hotels/savmdhx-hampton-suites-savannah-midtown/,OFFICIAL_PROPERTY,2026-09-14,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $75(1-4n),$125(5+n)2pets Max,dog/catonly",,savannah-ga
Hampton Inn Savannah - I-95 North,pet-friendly-hotels,7050 GA-21,Port Wentworth,GA,31407,+1 912-966-2000,https://www.hilton.com/en/hotels/savnohx-hampton-savannah-i-95-north/,https://www.hilton.com/en/hotels/savnohx-hampton-savannah-i-95-north/,OFFICIAL_PROPERTY,2026-09-14,,,"Pets allowed, $75.00 non-refundable fee",,savannah-ga
Hampton Inn Savannah-I-95/Richmond Hill,pet-friendly-hotels,4679 Highway 17,Richmond Hill,GA,31324,+1 912-756-2272,https://www.hilton.com/en/hotels/savrhhx-hampton-savannah-i-95-richmond-hill/,https://www.hilton.com/en/hotels/savrhhx-hampton-savannah-i-95-richmond-hill/,OFFICIAL_PROPERTY,2026-09-14,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $75(1-4n),$125(5+n) 2petsMax,dog/cat",,savannah-ga
Hilton Garden Inn Savannah Airport,pet-friendly-hotels,80 Clyde E. Martin Drive,Savannah,GA,31408,+1 912-964-5550,https://www.hilton.com/en/hotels/savahgi-hilton-garden-inn-savannah-airport/,https://www.hilton.com/en/hotels/savahgi-hilton-garden-inn-savannah-airport/,OFFICIAL_PROPERTY,2026-09-14,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $75/stay for 1-4 night stays, $125/stay for 5+ night stays, 2 pet max dogs or cats only",,savannah-ga
Hilton Garden Inn Savannah Historic District,pet-friendly-hotels,321 West Bay Street,Savannah,GA,31401,+1 912-721-5000,https://www.hilton.com/en/hotels/savshgi-hilton-garden-inn-savannah-historic-district/,https://www.hilton.com/en/hotels/savshgi-hilton-garden-inn-savannah-historic-district/,OFFICIAL_PROPERTY,2026-09-14,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum",,savannah-ga
Hilton Garden Inn Savannah Midtown,pet-friendly-hotels,5711 Abercorn Street,Savannah,GA,31405,+1 912-652-9300,https://www.hilton.com/en/hotels/savmtgi-hilton-garden-inn-savannah-midtown/,https://www.hilton.com/en/hotels/savmtgi-hilton-garden-inn-savannah-midtown/,OFFICIAL_PROPERTY,2026-09-14,,,"Pets allowed, $75.00 non-refundable fee, 50 lbs maximum, $75(1-4n),$150(5+n) 2petsMax,dog/cat",,savannah-ga
Holiday Inn Express & Suites Savannah N - Port Wentworth,pet-friendly-hotels,79 Coldbrook Station Circle,Port Wentworth,GA,31407,1-912-2985400,https://www.ihg.com/holidayinnexpress/hotels/us/en/port-wentworth/savpw/hoteldetail,https://www.ihg.com/holidayinnexpress/hotels/us/en/port-wentworth/savpw/hoteldetail,OFFICIAL_PROPERTY,2026-09-14,,,Pets are welcome at Holiday Inn Express & Suites Savannah N - Port Wentworth. Pet policy description. Pets are allowed. There is a non refundable 75 dollar pet fee due upon arrival. There may be additional fees for extended stays. Extra cleaning or damages caused by pets are subject to a minimum 250 dollar charge. Pet fee per night: 75 USD Pet weight limit: No weight limit per pet 2 pets allowed Pets allowed: All pets allowed,,savannah-ga
Holiday Inn Savannah Historic District,pet-friendly-hotels,520 West Bryan Street,Savannah,GA,31401,1-912-7901000,https://www.ihg.com/holidayinn/hotels/us/en/savannah/savmk/hoteldetail,https://www.ihg.com/holidayinn/hotels/us/en/savannah/savmk/hoteldetail,OFFICIAL_PROPERTY,2026-09-14,,,"Pets are welcome at Holiday Inn Savannah Historic District. Pet policy description. 75.00 USD nonrefundable pet fee for up to one pet 2 pets maximum per room. 75 lb weight maximum. Per our pet policy, only dogs are allowed. Cats, birds and reptiles are not permitted on the property. Pet fee per night: 75 USD Pet weight limit: 75 2 pets allowed Pets allowed: Only dogs allowed",,savannah-ga
Home2 Suites by Hilton Richmond Hill Savannah I 95,pet-friendly-hotels,4784 US Hwy 17,Richmond Hill,GA,31324,+1 912-445-4480,https://www.hilton.com/en/hotels/richlht-home2-suites-richmond-hill-savannah-i-95/,https://www.hilton.com/en/hotels/richlht-home2-suites-richmond-hill-savannah-i-95/,OFFICIAL_PROPERTY,2026-09-14,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $75(1-4n),$125(5+n)2petsMax,dog/cat only",,savannah-ga
Home2 Suites by Hilton Savannah Airport,pet-friendly-hotels,860 Towne Center Boulevard,Pooler,GA,31322,+1 912-450-6101,https://www.hilton.com/en/hotels/savsaht-home2-suites-savannah-airport/,https://www.hilton.com/en/hotels/savsaht-home2-suites-savannah-airport/,OFFICIAL_PROPERTY,2026-09-14,,,"Pets allowed, $75.00 non-refundable fee, 120 lbs maximum, $75(1-4n),$125(5+n) Two pets Max, dogs and cats allowed only",,savannah-ga
Home2 Suites by Hilton Savannah I95 North,pet-friendly-hotels,32 Hospitality Lane,Port Wentworth,GA,31407,+1 912-721-2700,https://www.hilton.com/en/hotels/savaght-home2-suites-savannah-i95-north/,https://www.hilton.com/en/hotels/savaght-home2-suites-savannah-i95-north/,OFFICIAL_PROPERTY,2026-09-14,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $75 (1-4n), $125 (5+n), 2 pet max, dog/cat only",,savannah-ga
Home2 Suites by Hilton Savannah Midtown,pet-friendly-hotels,46 Lee Blvd,Savannah,GA,31405,+1 912-298-1570,https://www.hilton.com/en/hotels/savmght-home2-suites-savannah-midtown/,https://www.hilton.com/en/hotels/savmght-home2-suites-savannah-midtown/,OFFICIAL_PROPERTY,2026-09-14,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $75(1-4n),$125(5+n)2petsMax,dog/cat only",,savannah-ga
Homewood Suites by Hilton Savannah Airport,pet-friendly-hotels,149 W. Mulberry Blvd,Savannah,GA,31407,+1 912-450-5555,https://www.hilton.com/en/hotels/savpohw-homewood-suites-savannah-airport/,https://www.hilton.com/en/hotels/savpohw-homewood-suites-savannah-airport/,OFFICIAL_PROPERTY,2026-09-14,,,"Pets allowed, $75.00 non-refundable fee, 75 lbs maximum, $75(1-4ngts),$125(5+n)2 pets Max,dog/cat only. 75lb combined weight max",,savannah-ga
Homewood Suites by Hilton Savannah Historic District/Riverfront,pet-friendly-hotels,611 East River Street,Savannah,GA,31401,+1 912-355-0025,https://www.hilton.com/en/hotels/savrbhw-homewood-suites-savannah-historic-district-riverfront/,https://www.hilton.com/en/hotels/savrbhw-homewood-suites-savannah-historic-district-riverfront/,OFFICIAL_PROPERTY,2026-09-14,,,"Pets allowed, $75.00 non-refundable fee, $75(1-4n)$100(5+n),2pet max,dog/cat only",,savannah-ga
Hotel Bardo Savannah,pet-friendly-hotels,700 Drayton Street,Savannah,GA,31401,+1 912-238-5158,https://www.staybardo.com/faq/,https://www.staybardo.com/faq/,OFFICIAL_PROPERTY,2026-09-14,,,"Hotel Bardo is a dog-friendly resort. Other animals are not permitted. We allow one dog up to 50 lbs, or two dogs with a combined weight of 75 lbs. There is an additional $200 non-refundable fee per stay.",,savannah-ga
